samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
6,lgbm,10,0.8846153846153846,0.8857142857142858,0.8846153846153846,0.875,0.875,0.875,0.8846153846153846,0.8857142857142858,0.8846153846153846,0.7980769230769231,0.8055555555555556,0.7980769230769231,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
7,lgbm,10,0.8846153846153846,0.8857142857142858,0.8846153846153846,0.875,0.875,0.875,0.8798076923076923,0.881516587677725,0.8798076923076923,0.8028846153846154,0.8056872037914692,0.8028846153846154,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}","{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}"
8,lgbm,10,0.8846153846153846,0.8867924528301887,0.8846153846153847,0.875,0.875,0.875,0.8846153846153846,0.8857142857142858,0.8846153846153846,0.8028846153846154,0.807511737089202,0.8028846153846154,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}"
9,lgbm,10,0.8846153846153846,0.8846153846153846,0.8846153846153845,0.875,0.875,0.875,0.875,0.8737864077669903,0.875,0.7980769230769231,0.8037383177570092,0.7980769230769229,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
10,lgbm,10,0.8798076923076923,0.8803827751196172,0.8798076923076923,0.875,0.875,0.875,0.875,0.8761904761904762,0.875,0.8076923076923077,0.8148148148148148,0.8076923076923077,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50}","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50}"
1,lr,20,0.8557692307692307,0.8514851485148514,0.8557692307692307,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8461538461538461,0.8446601941747574,0.8461538461538463,0.8365384615384616,0.8300000000000001,0.8365384615384616,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
2,lr,20,0.8557692307692307,0.8529411764705882,0.8557692307692308,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8461538461538461,0.8431372549019608,0.8461538461538463,0.8365384615384616,0.8300000000000001,0.8365384615384616,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
3,lr,20,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8413461538461539,0.8405797101449275,0.8413461538461539,0.8365384615384616,0.8300000000000001,0.8365384615384616,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
4,lr,20,0.8557692307692307,0.8529411764705882,0.8557692307692308,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8461538461538461,0.8446601941747574,0.8461538461538463,0.8365384615384616,0.8300000000000001,0.8365384615384616,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
5,lr,20,0.8557692307692307,0.8514851485148514,0.8557692307692307,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8461538461538461,0.8446601941747574,0.8461538461538463,0.8365384615384616,0.8300000000000001,0.8365384615384616,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
6,lr,20,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8413461538461539,0.8390243902439023,0.8413461538461539,0.8365384615384616,0.8300000000000001,0.8365384615384616,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
7,lr,20,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8509615384615384,0.8502415458937198,0.8509615384615385,0.8365384615384616,0.8300000000000001,0.8365384615384616,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
8,lr,20,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8413461538461539,0.8405797101449275,0.8413461538461539,0.8365384615384616,0.8300000000000001,0.8365384615384616,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
9,lr,20,0.8461538461538461,0.8415841584158416,0.8461538461538461,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8269230769230769,0.8235294117647058,0.8269230769230769,0.8365384615384616,0.8300000000000001,0.8365384615384616,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
10,lr,20,0.8509615384615384,0.8472906403940886,0.8509615384615384,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8365384615384616,0.8300000000000001,0.8365384615384616,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
1,rfc,20,0.8798076923076923,0.881516587677725,0.8798076923076923,0.8846153846153846,0.8867924528301887,0.8846153846153847,0.8894230769230769,0.8909952606635071,0.8894230769230769,0.8221153846153846,0.821256038647343,0.8221153846153846,"{'max_depth': 10, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
2,rfc,20,0.8942307692307693,0.8962264150943395,0.8942307692307692,0.8894230769230769,0.892018779342723,0.8894230769230769,0.875,0.8785046728971962,0.8749999999999999,0.8317307692307693,0.8325358851674641,0.8317307692307692,"{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
3,rfc,20,0.8798076923076923,0.881516587677725,0.8798076923076923,0.8894230769230769,0.892018779342723,0.8894230769230769,0.8798076923076923,0.881516587677725,0.8798076923076923,0.8269230769230769,0.825242718446602,0.8269230769230769,"{'max_depth': 10, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
